,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
0,srini_pspk,2022-09-02 15:47:00+00:00,0.0,,0.0,0.0,1.5657280047260836e+18,https://twitter.com/srini_pspk/status/1565728004726083584,,"['MyJANASENA_MyContribution', 'నా_సేన_కోసం_నా_వంతు', 'HBDJanasenaniPawanKalyan']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqVP3aVEAAgRsQ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqVP3aVEAAgRsQ?format=jpg&name=large')]",myjanasena_mycontribution,132.0,"@PawanKalyan  అన్నకీ హృదయపూర్వక జన్మదిన శుభాకాంక్షలు 
@JanaSenaParty
#MyJANASENA_MyContribution 
 #నా_సేన_కోసం_నా_వంతు
#HBDJanasenaniPawanKalyan https://t.co/C6oDTLHzgM"
1,muntaj___begum,2022-09-02 15:42:52+00:00,2.0,,1.0,1.0,1.5657269615192023e+18,https://twitter.com/muntaj___begum/status/1565726961519202304,,"['MyJANASENA_MyContribution', 'HBDJanaSenaniPawanKalyan']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqR_-2aIAArx_S?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqR_-2aIAArx_S?format=jpg&name=large')]",myjanasena_mycontribution,2470.0,"@PawanKalyan గారి పుట్టిన రోజు సందర్భంగా  భావితరాల భవిష్యత్ కోసం తలపెట్టిన నా సేన కోసం నా వంతు అనే కార్యక్రమంలో భాగంగా ₹20000 లు @JanaSenaParty కి నా వంతు బాధ్యతగా విరాళం ఇచ్చాను.

#MyJANASENA_MyContribution 
#HBDJanaSenaniPawanKalyan https://t.co/8eD6vInSab"
2,Kjanardhana1,2022-09-02 15:40:15+00:00,0.0,,0.0,0.0,1.5657263063017718e+18,https://twitter.com/Kjanardhana1/status/1565726306301771776,,"['నా_సేన_కోసం_నా_వంతు', 'pawankalyan', 'నా_సేన_కోసం_నా_వంతు', 'MyJANASENA_MyContribution', 'HappyBirthdayJanasenani']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqTxY1VUAIGEId?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqTxY1VUAIGEId?format=jpg&name=large')]",myjanasena_mycontribution,6.0,"#నా_సేన_కోసం_నా_వంతు                Then, Now and Forever.... Always with you #pawankalyan anna . 
 
#నా_సేన_కోసం_నా_వంతు

#MyJANASENA_MyContribution 
@JanaSenaParty
#HappyBirthdayJanasenani https://t.co/Y1rAQ64NW2"
3,sriramcharan19,2022-09-02 15:38:07+00:00,0.0,,0.0,0.0,1.5657257698335498e+18,https://twitter.com/sriramcharan19/status/1565725769833549824,,"['MyJanaSena_MyContribution', 'pawankalyan', 'janasena', 'HappyBirthdayPSPK']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqTSFxagAAd9S4?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqTSFxagAAd9S4?format=jpg&name=large')]",myjanasena_mycontribution,55.0,"A small contribution from my side!
 @JanaSenaParty
@PawanKalyan @TrendPSPK #MyJanaSena_MyContribution
#pawankalyan #janasena
#HappyBirthdayPSPK https://t.co/BWHVKBXs56"
4,kashfriend4U,2022-09-02 15:36:33+00:00,0.0,,0.0,0.0,1.5657253718861824e+18,https://twitter.com/kashfriend4U/status/1565725371886182401,,"['MyJANASENA_MyContribution', 'నా_సేన_కోసం_నా_వంతు', 'HBDJanasenaniPawanKalyan']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqS7TTaMAAMrPD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqS7TTaMAAMrPD?format=jpg&name=large')]",myjanasena_mycontribution,119.0,"#MyJANASENA_MyContribution #నా_సేన_కోసం_నా_వంతు
#HBDJanasenaniPawanKalyan 
@PawanKalyan https://t.co/HAtogYI42d https://t.co/WpXhfZ9YnY"
5,pattimaraju,2022-09-02 15:32:14+00:00,1.0,,0.0,0.0,1.565724287113171e+18,https://twitter.com/pattimaraju/status/1565724287113170945,,"['నా_సేన_కోసం_నా_వంతు', 'HBDJanaSenaniPawanKalyan', 'MyJANASENA_MyContribution']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqR7vjUEAAFuL9?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqR7vjUEAAFuL9?format=jpg&name=large')]",myjanasena_mycontribution,495.0,"శ్రీ @PawanKalyan గారి జన్మదిన వేడుకలలో భాగంగా #నా_సేన_కోసం_నా_వంతు కార్యక్రమంలో నా వంతు బాధ్యతగా

#HBDJanaSenaniPawanKalyan
#MyJANASENA_MyContribution https://t.co/4BYqN3wsjo"
6,yskanth,2022-09-02 15:29:25+00:00,194.0,,67.0,13.0,1.5657235795344466e+18,https://twitter.com/yskanth/status/1565723579534446593,,"['MyJANASENA_MyContribution', 'నా_సేన_కోసం_నా_వంతు', 'HBDJanasenaniPawanKalyan']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqRTCyVUAASqel?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqRTCyVUAASqel?format=jpg&name=large')]",myjanasena_mycontribution,25816.0,"ఇక నుండి ప్రతి నెలా నా పార్టీ అయిన @JanaSenaParty కోసం ఆర్ధికంగా నాకు తోచినంత కాంట్రిబ్యూట్ చేసుకుంటూ పోదామనీ &amp; ఆ ప్రాసెస్ ని శుభప్రదమైన ₹1,116 తో మొదలెట్టి నెల నెలా పెంచుకుంటూ వెళ్దామనీ డిసైడ్ అయితిని!

#MyJANASENA_MyContribution #నా_సేన_కోసం_నా_వంతు
#HBDJanasenaniPawanKalyan https://t.co/A3zV6P75xG"
7,SivaRamNimmala5,2022-09-02 15:25:58+00:00,2.0,,1.0,0.0,1.5657227104956252e+18,https://twitter.com/SivaRamNimmala5/status/1565722710495625216,,"['MyJANASENA_MyContribution', 'JSPForNewAgePolitics', 'నా_సేన_కోసం_నా_వంతు']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqQgdPaIAMbbY-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqQgdPaIAMbbY-?format=jpg&name=large')]",myjanasena_mycontribution,134.0,"నా వంతు సహాయంగా....... @JanaSenaParty కి ఇస్తున్న విరాళం @PawanKalyan గారి ఆశయ సాధన కోసం ఉపయుక్తంగా ఉండాలి అని కోరుకుంటున్నాను. జై హింద్
#MyJANASENA_MyContribution
#JSPForNewAgePolitics
#నా_సేన_కోసం_నా_వంతు
Please take ur time to donate for better society. https://t.co/2a6vFl4PZy"
8,VenkyPatnaik1,2022-09-02 15:20:25+00:00,2.0,,1.0,0.0,1.5657213152939418e+18,https://twitter.com/VenkyPatnaik1/status/1565721315293941761,,"['TeamJSP', 'MyJANASENA_MyContribution', 'JanasenaForBetterSociety', 'HBDJanaSenaniPawanKalyan']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqPO0DUcAIIw9u?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqPO0DUcAIIw9u?format=jpg&name=large')]",myjanasena_mycontribution,284.0,"Our Srikakukam Urban #TeamJSP Contributed Small Amount for a Greater Cause.. 
@JanaSenaParty
@PawanKalyan
#MyJANASENA_MyContribution #JanasenaForBetterSociety 
#HBDJanaSenaniPawanKalyan https://t.co/Lcev2AXtjO"
9,Devendra_JSPK,2022-09-02 15:17:00+00:00,0.0,,1.0,0.0,1.5657204548702208e+18,https://twitter.com/Devendra_JSPK/status/1565720454870220800,,"['MyJANASENA_MyContribution', 'నా_సేన_కోసం_నా_వంతు']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqOdB5aQAAhRql?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqOdB5aQAAhRql?format=jpg&name=large')]",myjanasena_mycontribution,181.0,"This is my very small contribution It's time we contribute to the party &amp; be part of the noble deeds the party is doing🙏🏽
#MyJANASENA_MyContribution #నా_సేన_కోసం_నా_వంతు https://t.co/pRG3kGQ2Q1"
