,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,Tweet,coords
0,anji8790,2022-09-02 06:28:41+00:00,7.0,,4.0,0.0,1.5655874980923105e+18,https://twitter.com/anji8790/status/1565587498092310528,Gurazala,"['MyJANASENA_MyContribution', 'MyJANASENA_MyContribution']","[Photo(previewUrl='https://pbs.twimg.com/media/FboVhzUUcAEPv_0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FboVhzUUcAEPv_0?format=jpg&name=large')]",keyword,"A Small Contribution On @PawanKalyan Birthday.
I Wish You A Very Happy Birthday Annayya ✊

#MyJANASENA_MyContribution 
@TrendPSPK @JanaSenaParty @TeamPowerSena @JSPShatagniTeam @JSPVeeraMahila
#MyJANASENA_MyContribution https://t.co/SK0oRLJwT6","16.5649812,79.63719138"
1,Ajith_Kumar_JSP,2022-08-28 13:15:48+00:00,0.0,,1.0,0.0,1.5638780135820616e+18,https://twitter.com/Ajith_Kumar_JSP/status/1563878013582061570,Gurazala,['MyJANASENA_MyContribution'],,keyword,"and post the screenshot using the hashtag:

👉 #MyJANASENA_MyContribution

Donation Link - https://t.co/y2kV7GQHBA

Indians can now easily donate via PhonePe/GPay/PayTM - 7288040505","16.5649812,79.63719138"
2,anji8790,2022-09-02 06:28:41+00:00,7.0,,4.0,0.0,1.5655874980923105e+18,https://twitter.com/anji8790/status/1565587498092310528,Macherla,"['MyJANASENA_MyContribution', 'MyJANASENA_MyContribution']","[Photo(previewUrl='https://pbs.twimg.com/media/FboVhzUUcAEPv_0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FboVhzUUcAEPv_0?format=jpg&name=large')]",keyword,"A Small Contribution On @PawanKalyan Birthday.
I Wish You A Very Happy Birthday Annayya ✊

#MyJANASENA_MyContribution 
@TrendPSPK @JanaSenaParty @TeamPowerSena @JSPShatagniTeam @JSPVeeraMahila
#MyJANASENA_MyContribution https://t.co/SK0oRLJwT6","16.4761106,79.4364146"
3,Ajith_Kumar_JSP,2022-08-28 13:15:48+00:00,0.0,,1.0,0.0,1.5638780135820616e+18,https://twitter.com/Ajith_Kumar_JSP/status/1563878013582061570,Macherla,['MyJANASENA_MyContribution'],,keyword,"and post the screenshot using the hashtag:

👉 #MyJANASENA_MyContribution

Donation Link - https://t.co/y2kV7GQHBA

Indians can now easily donate via PhonePe/GPay/PayTM - 7288040505","16.4761106,79.4364146"
4,AsifAli1447527A,2022-09-02 05:32:15+00:00,1.0,,1.0,0.0,1.5655732946525594e+18,https://twitter.com/AsifAli1447527A/status/1565573294652559360,Chirala,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FboIm6tUsAA9BN3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FboIm6tUsAA9BN3?format=jpg&name=large')]",keyword,it's my time to a little contribute to my party #MyJANASENA_MyContribution https://t.co/hmH9kHz5nU,"15.8361517,80.3636644"
5,JSPOngole,2022-09-02 15:13:28+00:00,38.0,,14.0,0.0,1.5657195651996058e+18,https://twitter.com/JSPOngole/status/1565719565199605760,Santhanuthalapadu,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbqNpLHaIAAdWYB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqNpLHaIAAdWYB?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FbqNpYxaAAAyno-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqNpYxaAAAyno-?format=jpg&name=large')]",keyword,"నా సేన కోసం నా వంతు కార్యక్రమం ద్వారా @JanaSenaParty ప్రకాశం జిల్లా ఇంఛార్జి శ్రీ @reyazsk786 గారి ఆధ్వర్యంలో పార్టీకి విరాళం ఇచ్చిన యువత. ప్రజలు తమకు చేతనైన సాయం చేయడం ద్వారా జనసేన పార్టీని క్రౌడ్ ఫండింగ్ పార్టీగా (ప్రజల పార్టీ) నిలబెట్టాలని కోరారు.

#MyJANASENA_MyContribution https://t.co/XgsaPuJj6M","15.5400343,79.943918"
6,shyamprakash0,2022-09-02 14:24:30+00:00,2.0,,1.0,0.0,1.5657072431733228e+18,https://twitter.com/shyamprakash0/status/1565707243173322758,Santhanuthalapadu,"['HBDJanasenani', 'HBDJanaSenaniPawanKalyan', 'HappyBirthdayPawanKalyan', 'MyJANASENA_MyContribution']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqCb4oVEAMe-Ma?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqCb4oVEAMe-Ma?format=jpg&name=large')]",keyword,"Nuv happy ga unte mem happy ga untam.
Odipoyina ela nilabadali anedhi ne daggare chusa.
You’re not only my reel hero you’re my real hero.
#HBDJanasenani 
#HBDJanaSenaniPawanKalyan
#HappyBirthdayPawanKalyan
#MyJANASENA_MyContribution https://t.co/sVAZvR7D4A https://t.co/k7aWOX0f69","15.5400343,79.943918"
7,yesannaravuri,2022-08-28 08:24:33+00:00,7.0,,3.0,0.0,1.5638047174695444e+18,https://twitter.com/yesannaravuri/status/1563804717469544448,Santhanuthalapadu,"['MyJANASENA_MyContribution', 'నాసేనకోసంనావంతు', 'PawanKalyan', 'JanaSenani', 'JanasenaRythuBharosaYatra', 'janasenaparty']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1563804559687892992/pu/img/1ZAdajtKM2xt-hv1.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1563804559687892992/pu/vid/320x580/wATsHMlMwkGovoeg.mp4?tag=12', bitrate=632000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1563804559687892992/pu/pl/nVAw3S0lYpRsJ1v4.m3u8?tag=12&container=fmp4&v=e33', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1563804559687892992/pu/vid/352x640/aulEXLObZu3W46q9.mp4?tag=12', bitrate=950000)], duration=33.76, views=92)]",keyword,"Each rupee we donate to JSP is being used for a noble cause 🙏

You can now easily donate to JanaSena Party through PhonePe/Gpay/Paytm: 7288040505 or 7288040505@upi

#MyJANASENA_MyContribution
#నాసేనకోసంనావంతు 
#PawanKalyan #JanaSenani 
#JanasenaRythuBharosaYatra 
#janasenaparty https://t.co/AzBIJ7lqhw","15.5400343,79.943918"
8,JSPOngole,2022-09-02 15:13:28+00:00,38.0,,14.0,0.0,1.5657195651996058e+18,https://twitter.com/JSPOngole/status/1565719565199605760,Ongole,['MyJANASENA_MyContribution'],"[Photo(previewUrl='https://pbs.twimg.com/media/FbqNpLHaIAAdWYB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqNpLHaIAAdWYB?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FbqNpYxaAAAyno-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqNpYxaAAAyno-?format=jpg&name=large')]",keyword,"నా సేన కోసం నా వంతు కార్యక్రమం ద్వారా @JanaSenaParty ప్రకాశం జిల్లా ఇంఛార్జి శ్రీ @reyazsk786 గారి ఆధ్వర్యంలో పార్టీకి విరాళం ఇచ్చిన యువత. ప్రజలు తమకు చేతనైన సాయం చేయడం ద్వారా జనసేన పార్టీని క్రౌడ్ ఫండింగ్ పార్టీగా (ప్రజల పార్టీ) నిలబెట్టాలని కోరారు.

#MyJANASENA_MyContribution https://t.co/XgsaPuJj6M","15.5075545,80.06080047"
9,shyamprakash0,2022-09-02 14:24:30+00:00,2.0,,1.0,0.0,1.5657072431733228e+18,https://twitter.com/shyamprakash0/status/1565707243173322758,Ongole,"['HBDJanasenani', 'HBDJanaSenaniPawanKalyan', 'HappyBirthdayPawanKalyan', 'MyJANASENA_MyContribution']","[Photo(previewUrl='https://pbs.twimg.com/media/FbqCb4oVEAMe-Ma?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FbqCb4oVEAMe-Ma?format=jpg&name=large')]",keyword,"Nuv happy ga unte mem happy ga untam.
Odipoyina ela nilabadali anedhi ne daggare chusa.
You’re not only my reel hero you’re my real hero.
#HBDJanasenani 
#HBDJanaSenaniPawanKalyan
#HappyBirthdayPawanKalyan
#MyJANASENA_MyContribution https://t.co/sVAZvR7D4A https://t.co/k7aWOX0f69","15.5075545,80.06080047"
